MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
AUDI,S8,MID-SIZE,4,8,AS8,Z,16.2,9.9,13.4,21,3,3,313
AUDI,SQ5,SUV - SMALL,3,6,AM8,Z,12.7,10,11.5,25,4,5,270
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,AM6,X,10.1,7.8,9.1,31,5,7,209
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,5,7,209
AUDI,TT RS,SUBCOMPACT,2.5,5,AM7,Z,12.3,8.2,10.5,27,5,3,245
AUDI,TTS COUPE,SUBCOMPACT,2,4,AM6,Z,10.3,8.6,9.5,30,5,3,222
BENTLEY,BENTAYGA,SUV - STANDARD,6,12,AS8,Z,18.8,12.2,15.9,18,2,3,370
BENTLEY,CONTINENTAL GT CONVERTIBLE,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,1,1,389
BENTLEY,CONTINENTAL SUPERSPORTS,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,1,1,389
BENTLEY,FLYING SPUR,MID-SIZE,4,8,AS8,Z,18.8,10.7,15.1,19,2,3,353
BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.4,12,16.6,17,1,1,389
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13,17.3,16,1,1,405
BMW,230i COUPE,SUBCOMPACT,2,4,AS8,Z,9.8,6.8,8.4,34,6,7,197
BMW,230i COUPE,SUBCOMPACT,2,4,M6,Z,11.1,7.3,9.4,30,5,7,219
BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,230i xDRIVE COUPE,SUBCOMPACT,2,4,AS8,Z,9.9,7.1,8.6,33,6,7,202
BMW,328d xDRIVE,COMPACT,2,4,AS8,D,7.8,5.9,7,40,7,3,184
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,D,7.8,5.9,7,40,7,3,184
BMW,330i xDRIVE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,330i xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,340i,COMPACT,3,6,AS8,Z,9.2,6.2,7.8,36,7,3,183
BMW,340i,COMPACT,3,6,M6,Z,12.1,8.1,10.3,27,5,3,240
BMW,340i xDRIVE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,5,3,223
BMW,340i xDRIVE,COMPACT,3,6,M6,Z,12.2,8.4,10.5,27,5,3,245
BMW,340i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.8,7.9,10,28,5,3,235
