MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
AUDI,Q7,SUV - STANDARD,2.0,4.0,AS8,Z,12.2,9.5,4.0,3.0,258.0
AUDI,Q7,SUV - STANDARD,3.0,6.0,AS8,Z,12.6,9.4,4.0,3.0,260.0
AUDI,R8,TWO-SEATER,5.2,10.0,AM7,Z,16.0,9.5,3.0,1.0,304.0
AUDI,R8 QUATTRO,TWO-SEATER,5.2,10.0,AM7,Z,17.1,11.3,2.0,1.0,338.0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,17.1,11.3,2.0,1.0,338.0
AUDI,RS 3,SUBCOMPACT,2.5,5.0,AM7,Z,12.4,8.3,4.0,3.0,248.0
AUDI,RS 5,SUBCOMPACT,2.9,6.0,AM8,Z,12.9,8.9,4.0,5.0,260.0
AUDI,RS 7,MID-SIZE,4.0,8.0,AS8,Z,17.0,9.6,3.0,3.0,318.0
AUDI,S3,SUBCOMPACT,2.0,4.0,AM7,Z,10.6,8.3,5.0,3.0,223.0
AUDI,S4,COMPACT,3.0,6.0,AM8,Z,11.5,8.0,5.0,5.0,232.0
AUDI,S5,SUBCOMPACT,3.0,6.0,AM8,Z,11.5,8.0,5.0,5.0,232.0
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,AM8,Z,11.9,8.1,5.0,5.0,239.0
AUDI,S5 SPORTBACK,MID-SIZE,3.0,6.0,AM8,Z,11.5,8.0,5.0,5.0,232.0
AUDI,S6,MID-SIZE,4.0,8.0,AM7,Z,15.0,10.0,3.0,3.0,298.0
AUDI,S7,MID-SIZE,4.0,8.0,AM7,Z,15.0,10.0,3.0,3.0,298.0
